"Chrysocharis orbicularis" "Opius funebris" "Triclistus anthophilae" "Meteorus colon" "Microgaster subcompleta" "Cyrtogaster vulgaris" "Hemiptarsenus ornatus" "Colastes braconius" "Heterolexis balteata" "Diglyphus isaea" "Dacnusa areolaris" "Chorebus aphantus" "Dacnusa tarsalis" "Dacnusa faeroensis" "Hemiptarsenus fulvicollis" "Pnigalio pectinicornis" "Hemiptarsenus unguicellus" "Seladerma tarsale" "Phaedrotoma exigua" "Dacnusa macrospila" "Dacnusa confinis" "Dacnusa sp." "Dacnusa maculipes" "Diadegma sp. G" "Macrocentrus pallipes" "Protapanteles delitutus" "Apanteles candidatus" "Cotesia jucunda" "Opius pallipes" "Pediobius metallicus" "Pediobius saulius" "Apanteles circumscriptus" "Chrysocharis pentheus" "Chrysocharis liriomyzae" "Achrysocharoides splendens" "Chrysocharis sp." "Cirrospilus pictus" "Miscogaster maculata" "Achrysocharoides cilla" "Pnigalio soemius" "Exotela flavicoxa" "Phaedrotoma reconditor" "Phaedrotoma reptantis" "Miscogaster rufipes" "Chorebus lateralis" "Chrysocharis pubicornis" "Seladerma diffine" "Chrysocharis pallipes" "Dacnusa temula" "Dapsilarthra florimela" "Biosteres carbonarius" "Apodesmia rufipes" "Phaeogenes sp." "Hyposoter sp. B" "Campoplex sp." "Tranosema sp." "Microgaster sp." "Apechthis compunctor"
"Agromyza nana" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anthophila fabriciana" 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chromatomyia milii" 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chromatomyia nigra" 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cnephasia incertana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Conistra ligula" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Operophtera brumata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pegomya hyoscami" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phyllonorycter coryli" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phyllonorycter spp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
